drug_id
abemaciclib
Adagrasib
apalutamide
ARV-766
atezolizumab
avelumab
AZD6738
AZD8421
Belvarafenib
Bozitinib
capivasertib
Capmatinib
Divarasib
enzalutamide
IBI351
imlunestrant
inavolisib
ipatasertib
KT-333
Lifirafenib
ALW-II-41-27
MK-1084
MRTX1133
palbociclib
pembrolizumab
PF-07248144
Pralsetinib
ribociclib
Savolitinib
Selpercatinib
STX-478
Tepotinib
Tivantinib
vepdegestrant
zanzalintinib
ZEN-3694
Zoldonrasib
Belvarafenib
BG-75098
BG-75202
BG-T187
BI 765049
BL-B01D1
